shipment_id,origin,destination,transport_type,shipment_date,delivery_date,distance_km,weight_kg,weight_bucket,duration_days,shipment_cost_aed,cost_per_km,delay_flag,temperature_c,weather,day_of_week_num,month_num,is_weekend
21,Sharjah,Fujairah,Courier,2023-10-21,2023-07-29,675.77,3861.56,Heavy,1,4697.15,6.951,1,20.2,"Dust Storm",NULL,NULL,1
22,"Abu Dhabi","Umm Al Quwain",Air,2023-07-11,2023-10-09,464.52,589.22,Medium,90,684.26,1.473,1,32.3,"Dust Storm",NULL,NULL,0
23,Sharjah,Ajman,Truck,2023-10-04,2023-11-25,948.53,2514.99,Heavy,52,2146.99,2.263,1,36.7,Hot,NULL,NULL,0
24,Dubai,"Umm Al Quwain",Courier,2023-06-10,2023-11-22,1343,4612.29,Heavy,165,11149.75,8.302,1,35.4,Clear,NULL,NULL,1
26,Sharjah,Dubai,Courier,2023-01-22,2023-05-28,1611.01,4187.9,Heavy,126,12144.15,7.538,1,43.6,Clear,NULL,NULL,1
27,"Ras Al Khaimah","Umm Al Quwain",Ship,2023-09-10,2023-10-07,1484.89,2481.74,Heavy,27,5159.16,3.474,1,35,Hot,NULL,NULL,1
28,Fujairah,Sharjah,Truck,2023-08-24,2023-01-10,1477.78,538.52,Medium,1,716.23,0.485,0,39.1,Rainy,NULL,NULL,0
29,"Umm Al Quwain",Sharjah,Ship,2023-12-11,2023-04-29,1970.82,743.54,Medium,1,2051.54,1.041,0,25.5,Clear,NULL,NULL,0
30,Ajman,Sharjah,Truck,2023-02-18,2023-04-05,611.6,238.15,Light,46,131.09,0.214,1,45.8,Clear,NULL,NULL,1
31,Dubai,Ajman,Ship,2023-02-28,2023-05-25,1300.11,980.6,Medium,86,1784.84,1.373,1,30.9,Rainy,NULL,NULL,0
32,Sharjah,Fujairah,Air,2023-06-19,2023-10-17,1715.29,4468.6,Heavy,120,19162.36,11.171,1,34.5,Clear,NULL,NULL,0
34,Fujairah,Sharjah,Courier,2023-09-28,2023-09-15,1585.32,3695.59,Heavy,1,10545.65,6.652,0,46.8,Hot,NULL,NULL,0
35,"Ras Al Khaimah",Fujairah,Air,2023-07-09,2023-12-13,846.47,3110.2,Heavy,157,6581.73,7.776,1,47,Clear,NULL,NULL,1
36,Ajman,"Umm Al Quwain",Ship,2023-06-24,2023-07-06,1193.27,1935.76,Medium,12,3233.84,2.71,1,26.7,Rainy,NULL,NULL,1
37,Dubai,"Abu Dhabi",Air,2023-02-20,2023-12-12,139.66,1088.22,Medium,295,379.95,2.721,1,42.6,Hot,NULL,NULL,0
39,Fujairah,"Abu Dhabi",Courier,2023-02-24,2023-12-13,1606.04,2576.57,Heavy,292,7448.53,4.638,1,20.9,Hot,NULL,NULL,0
40,Fujairah,Dubai,Ship,2023-09-01,2023-06-22,1741.55,2408.09,Heavy,1,5871.33,3.371,0,45.1,Clear,NULL,NULL,0
41,Fujairah,Sharjah,Air,2023-11-16,2023-09-28,1397.76,4980.54,Heavy,1,17404,12.451,1,23.9,"Dust Storm",NULL,NULL,0
42,"Umm Al Quwain","Abu Dhabi",Courier,2023-05-11,2023-08-10,396.52,1922.73,Medium,91,1372.32,3.461,1,24.6,Rainy,NULL,NULL,0
44,Sharjah,Fujairah,Truck,2023-05-15,2023-04-22,1733.37,4312.41,Heavy,1,6727.5,3.881,1,44.5,"Dust Storm",NULL,NULL,0
45,"Abu Dhabi",Fujairah,Air,2023-01-21,2023-07-03,810.77,1167.19,Medium,163,2365.81,2.918,1,25.7,Clear,NULL,NULL,1
46,Dubai,"Abu Dhabi",Air,2023-11-25,2023-12-06,549.81,478.72,Light,11,658.01,1.197,1,23.4,"Dust Storm",NULL,NULL,1
48,"Abu Dhabi","Umm Al Quwain",Courier,2023-10-01,2023-10-11,859.17,2132.35,Heavy,10,3297.69,3.838,1,20.7,Hot,NULL,NULL,1
49,Fujairah,Sharjah,Courier,2023-03-30,2023-03-16,1313.78,16.09,Light,1,38.05,0.029,0,23.5,Hot,NULL,NULL,0
50,"Abu Dhabi","Ras Al Khaimah",Ship,2023-11-12,2023-12-22,983.07,2497.59,Heavy,40,3437.43,3.497,1,48.3,Hot,NULL,NULL,1
51,"Ras Al Khaimah",Dubai,Truck,2023-01-14,2023-08-04,1403.55,3098.41,Heavy,202,3913.9,2.789,1,22.9,Clear,NULL,NULL,1
52,Fujairah,Sharjah,Air,2023-08-30,2023-11-25,1711.24,3881.56,Heavy,87,16605.7,9.704,1,37.9,Rainy,NULL,NULL,0
53,"Umm Al Quwain",Ajman,Air,2023-09-22,2023-01-24,415.25,4715,Heavy,1,4894.76,11.788,0,47.6,Clear,NULL,NULL,0
54,Fujairah,"Abu Dhabi",Courier,2023-12-12,2023-03-10,678.98,4576.28,Heavy,1,5592.96,8.237,1,38.8,"Dust Storm",NULL,NULL,0
56,Ajman,"Abu Dhabi",Ship,2023-12-06,2023-04-04,1925.26,165.47,Light,1,446,0.232,1,37.9,"Dust Storm",NULL,NULL,0
57,"Umm Al Quwain",Dubai,Truck,2023-04-02,2023-11-18,749.71,3560.31,Heavy,230,2402.28,3.204,1,47.1,Rainy,NULL,NULL,1
58,"Ras Al Khaimah",Sharjah,Air,2023-09-21,2023-11-21,780.77,1133.16,Medium,61,2211.84,2.833,1,29.7,Hot,NULL,NULL,0
60,"Abu Dhabi","Umm Al Quwain",Truck,2023-07-25,2023-08-13,855.82,4002.59,Heavy,19,3082.95,3.602,1,27.5,Clear,NULL,NULL,0
62,Dubai,Sharjah,Truck,2023-02-19,2024-01-05,1792.1,4583.42,Heavy,320,7392.55,4.125,1,27.1,Rainy,NULL,NULL,1
63,"Umm Al Quwain","Abu Dhabi",Air,2023-12-26,2023-12-13,1041.42,216.96,Light,1,564.87,0.542,0,41.7,Clear,NULL,NULL,0
64,"Abu Dhabi","Umm Al Quwain",Courier,2023-01-02,2023-12-04,1300.21,4011.89,Heavy,336,9389.34,7.221,1,39.3,Clear,NULL,NULL,0
65,"Ras Al Khaimah",Fujairah,Air,2023-02-23,2023-04-14,144.32,688.49,Medium,50,248.41,1.721,1,32,"Dust Storm",NULL,NULL,0
66,Dubai,Ajman,Truck,2023-04-16,2023-08-04,1400.59,887,Medium,110,1118.09,0.798,1,41.7,Hot,NULL,NULL,1
67,"Umm Al Quwain","Ras Al Khaimah",Courier,2023-09-17,2023-07-12,1423.19,2389.37,Heavy,1,6120.95,4.301,0,23,Rainy,NULL,NULL,1
68,"Abu Dhabi","Ras Al Khaimah",Ship,2023-11-06,2023-06-10,737.62,1980.97,Medium,1,2045.68,2.773,0,42.5,Rainy,NULL,NULL,0
69,Sharjah,"Umm Al Quwain",Ship,2023-07-10,2023-07-27,462.78,2433.43,Heavy,17,1576.6,3.407,1,38.1,Hot,NULL,NULL,0
71,Dubai,Sharjah,Ship,2023-02-13,2023-07-14,870.61,3288.66,Heavy,151,4008.4,4.604,1,21.9,"Dust Storm",NULL,NULL,0
72,Ajman,"Abu Dhabi",Ship,2023-06-11,2023-06-02,1317.8,1455.1,Medium,1,2684.54,2.037,0,38.5,Hot,NULL,NULL,1
73,Dubai,Fujairah,Courier,2023-07-21,2023-08-26,95.66,868.68,Medium,36,149.58,1.564,1,34.8,Hot,NULL,NULL,0
74,"Abu Dhabi",Ajman,Air,2023-09-27,2023-03-30,845.71,2103.13,Heavy,1,4446.6,5.258,0,34.6,Hot,NULL,NULL,0
76,Sharjah,"Ras Al Khaimah",Air,2023-10-31,2023-07-07,793.52,3008.47,Heavy,1,5968.2,7.521,0,20.2,Hot,NULL,NULL,0
78,Sharjah,"Umm Al Quwain",Truck,2023-08-03,2023-01-16,443.42,3838.71,Heavy,1,1531.94,3.455,0,32,Rainy,NULL,NULL,0
80,Sharjah,Fujairah,Ship,2023-07-09,2023-10-25,1857.45,2804.46,Heavy,108,7292.8,3.926,1,38.4,"Dust Storm",NULL,NULL,1
81,Dubai,Ajman,Ship,2023-10-23,2023-03-15,1145.91,3119.54,Heavy,1,5004.6,4.367,0,29,Rainy,NULL,NULL,0
82,Fujairah,"Ras Al Khaimah",Truck,2023-08-01,2023-02-22,1806.8,1038.12,Medium,1,1688.11,0.934,1,28.1,"Dust Storm",NULL,NULL,0
83,"Ras Al Khaimah",Dubai,Truck,2023-07-27,2023-05-09,1806.98,4130.93,Heavy,1,6718.06,3.718,0,34.9,Clear,NULL,NULL,0
84,Fujairah,"Ras Al Khaimah",Courier,2023-08-25,2023-01-29,1889.97,3079.08,Heavy,1,10474.86,5.542,0,37.8,Rainy,NULL,NULL,0
85,"Abu Dhabi",Dubai,Truck,2023-12-04,2023-03-07,1793.92,3230.38,Heavy,1,5215.54,2.907,0,37,Clear,NULL,NULL,0
86,"Ras Al Khaimah",Ajman,Air,2023-02-22,2023-01-18,36.46,2491.23,Heavy,1,227.08,6.228,0,46.4,Rainy,NULL,NULL,0
87,Fujairah,"Ras Al Khaimah",Truck,2023-10-07,2023-12-18,1870.01,4548.42,Heavy,72,7655.03,4.094,1,43.1,Hot,NULL,NULL,1
88,"Umm Al Quwain","Ras Al Khaimah",Air,2023-08-05,2023-05-19,300.8,3471.17,Heavy,1,2610.32,8.678,0,21.6,Clear,NULL,NULL,1
89,"Abu Dhabi","Ras Al Khaimah",Courier,2023-09-09,2023-11-16,108.65,1912.27,Medium,68,373.98,3.442,1,36.9,Clear,NULL,NULL,1
90,"Umm Al Quwain","Ras Al Khaimah",Truck,2023-07-07,2023-08-18,139.12,1196.84,Medium,42,149.85,1.077,1,32.5,Clear,NULL,NULL,0
91,Ajman,"Abu Dhabi",Ship,2023-02-10,2023-09-12,717.36,359.95,Light,214,361.5,0.504,1,30.8,"Dust Storm",NULL,NULL,0
92,Dubai,Sharjah,Courier,2023-06-06,2023-07-30,1252.98,830.98,Medium,54,1874.16,1.496,1,48.7,Rainy,NULL,NULL,0
93,Sharjah,"Ras Al Khaimah",Truck,2023-01-15,2023-10-22,822.55,4963.45,Heavy,280,3674.42,4.467,1,33.7,Hot,NULL,NULL,1
94,"Umm Al Quwain","Abu Dhabi",Truck,2023-10-28,2023-08-20,80.34,2036.8,Heavy,1,147.27,1.833,1,41.6,"Dust Storm",NULL,NULL,1
95,Sharjah,Ajman,Air,2023-03-06,2023-08-30,968.67,4493.94,Heavy,177,10882.86,11.235,1,49,Rainy,NULL,NULL,0
96,Sharjah,"Ras Al Khaimah",Truck,2023-12-11,2023-03-12,901,856.99,Medium,1,694.93,0.771,0,24.5,Clear,NULL,NULL,0
97,Ajman,Fujairah,Air,2023-11-23,2023-04-15,1520.99,2129.68,Heavy,1,8098.05,5.324,1,21.6,"Dust Storm",NULL,NULL,0
98,Dubai,"Ras Al Khaimah",Air,2023-01-09,2023-07-24,580.84,4802.79,Heavy,196,6974.13,12.007,1,29.4,Hot,NULL,NULL,0
99,Fujairah,"Umm Al Quwain",Ship,2023-12-10,2023-02-23,458.54,460.21,Light,1,295.43,0.644,0,21.3,Clear,NULL,NULL,1
100,"Umm Al Quwain","Ras Al Khaimah",Ship,2023-05-09,2023-11-27,534.2,2971.95,Heavy,202,2222.66,4.161,1,23.5,"Dust Storm",NULL,NULL,0
101,Fujairah,Dubai,Ship,2023-05-16,2023-02-24,628.37,4596.26,Heavy,1,4043.41,6.435,0,49.8,Clear,NULL,NULL,0
102,Dubai,Fujairah,Courier,2023-03-04,2023-10-04,1210.35,4748.67,Heavy,214,10345.59,8.548,1,48.8,Rainy,NULL,NULL,1
104,Dubai,"Ras Al Khaimah",Air,2023-03-22,2023-02-01,693.68,4280.39,Heavy,1,7423.05,10.701,0,42.6,Hot,NULL,NULL,0
105,Sharjah,"Ras Al Khaimah",Truck,2023-06-12,2023-05-16,767.4,3262.65,Heavy,1,2253.38,2.936,0,24.2,Rainy,NULL,NULL,0
106,Fujairah,"Abu Dhabi",Air,2023-10-16,2023-02-28,760.72,1106.01,Medium,1,2103.41,2.765,0,37.9,Rainy,NULL,NULL,0
107,Dubai,Ajman,Ship,2023-09-18,2023-04-16,1945.64,3654.74,Heavy,1,9955.13,5.117,0,24.6,Rainy,NULL,NULL,0
108,Fujairah,Dubai,Truck,2023-08-19,2023-09-24,489,4892.03,Heavy,36,2152.98,4.403,1,31.4,Clear,NULL,NULL,1
109,Dubai,"Ras Al Khaimah",Air,2023-02-10,2023-01-11,1641.58,2632.04,Heavy,1,10801.76,6.58,0,30.4,Clear,NULL,NULL,0
110,"Abu Dhabi",Ajman,Truck,2023-01-28,2023-09-11,1425.18,1307.18,Medium,226,1676.67,1.176,1,38.4,Rainy,NULL,NULL,1
111,"Umm Al Quwain",Dubai,Air,2023-05-15,2023-10-23,40.97,2869.49,Heavy,161,293.91,7.174,1,22.4,Clear,NULL,NULL,0
112,Sharjah,Dubai,Truck,2023-07-20,2023-06-06,1986.56,3454.6,Heavy,1,6176.49,3.109,0,23.1,Rainy,NULL,NULL,0
113,Dubai,"Umm Al Quwain",Truck,2023-11-24,2023-06-08,1520.19,1045.36,Medium,1,1430.23,0.941,0,38.3,Hot,NULL,NULL,0
114,Ajman,Dubai,Ship,2023-09-25,2023-02-07,1374.43,3597.35,Heavy,1,6922.03,5.036,1,39.1,"Dust Storm",NULL,NULL,0
115,Dubai,"Ras Al Khaimah",Courier,2023-02-02,2023-04-30,828.49,2939.23,Heavy,87,4383.22,5.291,1,30.2,"Dust Storm",NULL,NULL,0
117,Ajman,"Ras Al Khaimah",Truck,2023-03-03,2023-08-31,528.94,1533.41,Medium,181,729.97,1.38,1,46.6,Hot,NULL,NULL,0
118,Ajman,"Ras Al Khaimah",Truck,2023-08-04,2023-10-27,99.9,780.56,Medium,84,70.18,0.703,1,21.6,Rainy,NULL,NULL,0
119,Dubai,Ajman,Ship,2023-10-20,2023-08-02,1676.96,3119.13,Heavy,1,7322.92,4.367,1,41.5,"Dust Storm",NULL,NULL,0
120,"Abu Dhabi",Sharjah,Air,2023-04-09,2023-11-05,1796.07,2933.23,Heavy,210,13170.72,7.333,1,24.2,Hot,NULL,NULL,1
121,Ajman,Sharjah,Truck,2023-06-21,2023-04-12,350.07,1693.37,Medium,1,533.52,1.524,0,39.1,Clear,NULL,NULL,0
124,"Ras Al Khaimah",Ajman,Courier,2023-02-04,2023-11-21,381.4,2451.97,Heavy,290,1683.33,4.414,1,31.9,Rainy,NULL,NULL,1
125,Sharjah,Fujairah,Courier,2023-08-15,2023-08-28,861,4874.22,Heavy,13,7554.07,8.774,1,20.7,Hot,NULL,NULL,0
126,Fujairah,"Umm Al Quwain",Truck,2023-04-11,2023-08-20,862.83,3819.01,Heavy,131,2965.64,3.437,1,44.3,Hot,NULL,NULL,0
127,Fujairah,Ajman,Air,2023-05-11,2023-12-29,1527.13,4259.44,Heavy,232,16261.8,10.649,1,33.3,Clear,NULL,NULL,0
128,"Abu Dhabi",Dubai,Ship,2023-09-14,2023-04-03,1680.19,2530.72,Heavy,1,5952.93,3.543,0,45.4,Hot,NULL,NULL,0
129,Ajman,"Ras Al Khaimah",Truck,2023-01-05,2023-10-07,216.71,2632.99,Heavy,275,513.54,2.37,1,43.3,Rainy,NULL,NULL,0
130,Sharjah,Fujairah,Courier,2023-08-06,2023-04-20,1139.05,1025.6,Medium,1,2102.78,1.846,0,34.9,Hot,NULL,NULL,1
131,Sharjah,Dubai,Courier,2023-09-12,2023-11-14,1530.64,3606.62,Heavy,63,9936.79,6.492,1,50,Hot,NULL,NULL,0
132,"Ras Al Khaimah","Umm Al Quwain",Air,2023-12-25,2023-06-18,1578.8,2110.81,Heavy,1,8331.37,5.277,0,33.9,Hot,NULL,NULL,0
133,"Abu Dhabi","Ras Al Khaimah",Truck,2023-10-10,2023-10-28,321.55,3713.52,Heavy,18,1074.67,3.342,1,40.9,Clear,NULL,NULL,0
134,"Umm Al Quwain","Ras Al Khaimah",Air,2023-07-26,2023-08-07,1065.25,2048.23,Heavy,12,5454.69,5.121,1,40.1,Clear,NULL,NULL,0
135,Ajman,"Umm Al Quwain",Air,2023-01-15,2023-08-11,1719.39,547.04,Medium,208,2351.44,1.368,1,35.5,"Dust Storm",NULL,NULL,1
136,"Abu Dhabi",Dubai,Truck,2023-12-12,2023-06-11,657.48,869.4,Medium,1,514.45,0.782,1,37.6,"Dust Storm",NULL,NULL,0
137,Dubai,Ajman,Ship,2023-02-11,2023-01-17,867.48,4058.79,Heavy,1,4929.29,5.682,0,44,Clear,NULL,NULL,1
139,"Abu Dhabi",Fujairah,Truck,2023-03-04,2023-02-27,205.96,1325.45,Medium,1,245.69,1.193,0,33.5,Clear,NULL,NULL,1
140,"Abu Dhabi","Umm Al Quwain",Courier,2023-12-18,2023-03-04,1723.2,4647.19,Heavy,1,14414.47,8.365,0,39.9,Clear,NULL,NULL,0
141,"Ras Al Khaimah","Umm Al Quwain",Ship,2023-08-19,2023-12-30,642.98,3289.89,Heavy,133,2961.47,4.606,1,21.1,Rainy,NULL,NULL,1
142,"Umm Al Quwain","Ras Al Khaimah",Courier,2023-08-29,2023-11-24,32.86,575.97,Medium,87,34.07,1.037,1,23.3,Hot,NULL,NULL,0
143,Dubai,"Abu Dhabi",Courier,2023-02-21,2023-08-31,491.29,722.21,Medium,191,638.67,1.3,1,23.8,Clear,NULL,NULL,0
144,Fujairah,"Ras Al Khaimah",Air,2023-04-06,2023-04-01,206.32,1365.48,Medium,1,704.31,3.414,0,32.8,Rainy,NULL,NULL,0
147,"Umm Al Quwain","Abu Dhabi",Ship,2023-08-25,2023-01-31,451.53,1376.11,Medium,1,869.9,1.927,0,49.2,Hot,NULL,NULL,0
149,"Abu Dhabi",Ajman,Courier,2023-06-20,2023-10-16,1047.4,550.35,Medium,118,1037.59,0.991,1,41.7,"Dust Storm",NULL,NULL,0
150,Sharjah,"Ras Al Khaimah",Courier,2023-01-29,2023-03-28,936.39,1041.96,Medium,58,1756.23,1.876,1,29.4,Hot,NULL,NULL,1
152,"Umm Al Quwain",Ajman,Truck,2023-01-13,2023-08-24,1394.4,678.05,Medium,223,850.93,0.61,1,44.8,"Dust Storm",NULL,NULL,0
154,"Umm Al Quwain",Dubai,Air,2023-11-23,2024-01-01,283.34,3521.16,Heavy,39,2494.21,8.803,1,26.4,"Dust Storm",NULL,NULL,0
155,Dubai,"Ras Al Khaimah",Ship,2023-07-06,2023-09-23,1763.94,370.07,Light,79,913.89,0.518,1,30.2,Hot,NULL,NULL,0
157,Sharjah,"Umm Al Quwain",Courier,2023-03-27,2023-11-24,175.79,2597.3,Heavy,242,821.84,4.675,1,38.7,Rainy,NULL,NULL,0
158,"Umm Al Quwain",Ajman,Courier,2023-10-11,2023-09-27,1072.85,4661.04,Heavy,1,9001.07,8.39,0,27.9,Clear,NULL,NULL,0
159,"Umm Al Quwain","Ras Al Khaimah",Truck,2023-03-07,2023-07-06,1305.27,2108.42,Heavy,121,2476.85,1.898,1,25.1,"Dust Storm",NULL,NULL,0
160,"Ras Al Khaimah",Fujairah,Courier,2023-06-19,2023-05-12,572.9,2236.58,Heavy,1,2306.41,4.026,0,23.3,Hot,NULL,NULL,0
161,Dubai,"Ras Al Khaimah",Courier,2023-02-14,2023-10-19,1606.67,566.86,Medium,247,1639.36,1.02,1,24.5,Clear,NULL,NULL,0
162,Fujairah,Ajman,Courier,2023-03-03,2023-10-05,1349.46,3197.67,Heavy,216,7767.23,5.756,1,46,"Dust Storm",NULL,NULL,0
163,Fujairah,Sharjah,Truck,2023-05-14,2023-11-17,1311.17,1058.43,Medium,187,1249,0.953,1,47.7,Hot,NULL,NULL,1
164,Sharjah,Ajman,Ship,2023-10-11,2023-12-18,859.03,392.28,Light,68,471.77,0.549,1,49,Rainy,NULL,NULL,0
165,Fujairah,"Abu Dhabi",Courier,2023-01-28,2023-06-30,1924.97,4984.61,Heavy,153,17271.4,8.972,1,45,Clear,NULL,NULL,1
167,"Ras Al Khaimah","Umm Al Quwain",Truck,2023-02-13,2023-06-13,1168.08,709.56,Medium,120,745.94,0.639,1,44.5,Rainy,NULL,NULL,0
168,Sharjah,Fujairah,Truck,2023-12-06,2023-09-29,638.84,3498.95,Heavy,1,2011.74,3.149,0,48.7,Rainy,NULL,NULL,0
169,"Umm Al Quwain",Ajman,Courier,2023-10-13,2023-04-07,1497.27,4109.3,Heavy,1,11074.92,7.397,0,45.4,Hot,NULL,NULL,0
172,"Umm Al Quwain",Ajman,Ship,2023-12-14,2023-12-20,1627.4,455.42,Light,6,1037.61,0.638,1,37.5,Rainy,NULL,NULL,0
173,Sharjah,"Umm Al Quwain",Air,2023-08-19,2023-10-16,885.51,239.56,Light,58,530.33,0.599,1,38.2,Hot,NULL,NULL,1
174,Ajman,Fujairah,Ship,2023-07-09,2023-03-25,702.12,3298.99,Heavy,1,3242.8,4.619,1,37.2,"Dust Storm",NULL,NULL,1
175,Fujairah,"Umm Al Quwain",Courier,2023-08-13,2023-08-14,1226.83,2943.62,Heavy,1,6500.38,5.299,0,41.2,Clear,NULL,NULL,1
176,"Abu Dhabi","Umm Al Quwain",Truck,2023-10-10,2023-08-12,1412.74,3315.72,Heavy,1,4215.83,2.984,0,41,Hot,NULL,NULL,0
177,"Abu Dhabi","Umm Al Quwain",Courier,2023-05-01,2023-04-29,426.37,2530.81,Heavy,1,1942.31,4.555,1,22.6,"Dust Storm",NULL,NULL,0
178,Dubai,"Abu Dhabi",Ship,2023-04-26,2023-07-12,395.3,4088.45,Heavy,77,2262.63,5.724,1,28.6,Hot,NULL,NULL,0
179,"Abu Dhabi",Fujairah,Truck,2023-08-21,2023-03-21,1917.56,2735.61,Heavy,1,4721.13,2.462,0,46.7,Hot,NULL,NULL,0
180,Ajman,"Abu Dhabi",Courier,2023-09-16,2023-03-20,1191.64,4594.14,Heavy,1,9854.21,8.269,0,37.7,Clear,NULL,NULL,1
181,"Ras Al Khaimah","Abu Dhabi",Courier,2023-12-25,2023-05-28,798.53,2430.81,Heavy,1,3493.93,4.375,0,29.9,Hot,NULL,NULL,0
182,"Abu Dhabi",Fujairah,Ship,2023-07-17,2023-04-18,1608.84,3954.34,Heavy,1,8906.66,5.536,1,45.5,"Dust Storm",NULL,NULL,0
183,Sharjah,Ajman,Courier,2023-05-17,2023-09-29,1064.56,2039.76,Heavy,135,3908.6,3.672,1,27.5,Hot,NULL,NULL,0
184,Sharjah,"Ras Al Khaimah",Truck,2023-11-14,2023-09-02,506.08,2178.94,Heavy,1,992.45,1.961,0,32.3,Clear,NULL,NULL,0
186,"Abu Dhabi","Ras Al Khaimah",Truck,2023-08-13,2023-12-24,811.81,542.76,Medium,133,396.56,0.488,1,46.1,Rainy,NULL,NULL,1
188,"Abu Dhabi",Fujairah,Ship,2023-08-22,2023-01-27,151.05,3633.05,Heavy,1,768.28,5.086,0,33.8,Hot,NULL,NULL,0
189,Dubai,Ajman,Truck,2023-06-21,2023-07-30,460.5,3753.35,Heavy,39,1555.58,3.378,1,48,Rainy,NULL,NULL,0
190,"Ras Al Khaimah","Abu Dhabi",Courier,2023-06-01,2023-04-03,1789.51,2959.51,Heavy,1,9532.93,5.327,0,47.8,Rainy,NULL,NULL,0
191,"Umm Al Quwain",Dubai,Air,2023-11-11,2023-05-06,269.82,2243.08,Heavy,1,1513.07,5.608,0,41.3,Clear,NULL,NULL,1
192,"Ras Al Khaimah",Sharjah,Truck,2023-06-09,2023-03-15,1270.36,1307.61,Medium,1,1495.02,1.177,0,46.8,Clear,NULL,NULL,0
193,"Umm Al Quwain","Ras Al Khaimah",Truck,2023-04-06,2023-05-04,450.62,4547.58,Heavy,28,1844.31,4.093,1,41.6,Hot,NULL,NULL,0
194,"Umm Al Quwain",Ajman,Truck,2023-08-21,2023-11-06,1223.56,1852.09,Medium,77,2039.53,1.667,1,38.8,"Dust Storm",NULL,NULL,0
195,Fujairah,"Umm Al Quwain",Air,2023-06-29,2023-07-04,784.72,3995.97,Heavy,5,7839.29,9.99,1,32.6,Clear,NULL,NULL,0
196,Dubai,Sharjah,Ship,2023-04-23,2023-07-07,230.3,163.17,Light,75,52.61,0.228,1,28.2,Hot,NULL,NULL,1
197,Ajman,"Umm Al Quwain",Courier,2023-11-14,2023-07-18,1177.48,1164.69,Medium,1,2468.52,2.096,0,21.8,Rainy,NULL,NULL,0
198,Sharjah,Dubai,Air,2023-02-21,2023-03-20,1375.59,1731.2,Medium,27,5953.55,4.328,1,44,Rainy,NULL,NULL,0
199,"Abu Dhabi",Dubai,Courier,2023-09-25,2023-12-15,1370.14,3359.51,Heavy,81,8285.4,6.047,1,23.7,Hot,NULL,NULL,0
200,Fujairah,Dubai,Air,2023-10-22,2023-07-06,1284.96,1600.06,Medium,1,5140.03,4,0,32.3,Clear,NULL,NULL,1
